"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","INEOS","UAE","INEOS","INEOS","INEOS","x","Visma"
"2","UAE","INEOS","BORA","UAE","BORA","x","INEOS"
"3","BORA","Visma","UAE","BORA","UAE","x","UAE"
"Points","7.5","25","15","7.5","15","",""
