"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Pedersen","Matthews","VDP","Vacek","Pedersen",NA,"Pedersen"
"2","Vacek","Pedersen","Pedersen","VDP","Simmons",NA,"Simmons"
"3","Philipsen","Stuyven","Vacek","Pedersen","VDP",NA,"Garcia"
"Points","20","7.5","7.5","7.5","35",0,""
