"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Merlier","Philipsen","Merlier","Philipsen","Merlier","Merlier","Kooj"
"2","Pedersen","Merlier","Philipsen","Kooj","Philipsen","Girmay","Kanter"
"3","Kooj","Girmay","Girmay","Merlier","Kooj","Philipsen","Merlier"
"Points","10","2.5","2.5","17.5","10","2.5",""
