"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Merlier ","Merlier ","Pedersen","Philipsen","Merlier ","Kooij","Merlier "
"2","Kooij","Philipsen","Merlier ","Pedersen","Kooij","Merlier","Kooij"
"3","Girmay","Kooij","Kooij","Kooij","Philipsen","Philipsen","Philipsen"
"Points","35","27.5","12.5","7.5","45","15",""
