"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Pidcock","McNulty","X","McNulty","Pidcock","X","Schmid"
"2","McNulty","Pidcock","X","Izagirre","Tejada","X","Tejada"
"3","Vauquelin","Healy","X","Pidcock","Grégoire","X","Pidcock"
"Points","2.5","2.5","0","10","17.5","0",""
