"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Merlier","Merlier","Merlier","Merlier","Philipsen","Girmay","Waerenskjold"
"2","Kooij","Philipsen","Pedersen","Girmay","Merlier","Merlier","Kooij"
"3","Girmay","Kooij","Girmay","Philipsen","Girmay","Pedersen","Philipsen"
"Points","15","7.5","0","10","2.5","0",""
