"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Merlier","Merlier","Merlier","Merlier","Merlier","x","Merlier"
"2","Kooij","Philipsen","Girmay","Girmay","Philipsen","x","Girmay"
"3","Bauhaus","Kooij","Philipsen","Waerenskojld","Kooij","x","Kooij"
"Points","22.5","30","35","35","30","0",""
