"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Pogacar","Pogacar","Pogacar","Pogacar","Pogacar","X","Pogacar"
"2","Vingegaard","Remco","Vingegaard","Vingegaard","Vingegaard","x","Vingegaard"
"3","Seixas","Vingegaard","Carapaz","Del Toro","Ayuso","X","Del Toro"
"Points","35","25","35","45","35","0",""
