"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Pogacar","Pogacar","Vdp","Pogacar","Pogacar","Pogacar","Del Toro"
"2","Seixas","Vingegaard","Pogacar","Vingegaard","Vingegaard","Vingegaard","Pogacar"
"3","Vingegaard","Remco","Vingegaard","Seixas","Vdp","Laporte","Remco"
"Points","5","15","15","5","5","5",""
