"etappe1","Boul","Robin","Perrine","Sven","Danne","Léon","Vainqueur"
"1","Merlier","Merlier","Philipsen","Kooij","Philipsen","x","Merlier"
"2","Pedersen","Philipsen","Pedersen","Merlier","Merlier","x","Waerenskjold"
"3","Kooij","Kooij","Kooij","Philipsen","Girmay","x","Girmay"
"Points","20","20","0","7.5","17.5","0",""
